portfolio_id,ticker,source_rank,motif_id,composite_candidate_score,technical_timing_score,factor_pack_score,raw_weight,final_weight,weight_sum_check,readiness_status,official_decision_impact
TOP20_EQUAL_WEIGHT,FORM,1,,59.2,64.0,100.0,0.05,0.05,1.0,READY,NONE
TOP20_EQUAL_WEIGHT,AEIS,2,,58.86,68.0,96.15,0.05,0.05,1.0,READY,NONE
TOP20_EQUAL_WEIGHT,AGX,3,,57.4,58.0,100.0,0.05,0.05,1.0,READY,NONE
TOP20_EQUAL_WEIGHT,BLTE,4,,57.324,68.0,92.31,0.05,0.05,1.0,READY,NONE
TOP20_EQUAL_WEIGHT,LITE,5,,57.02,58.0,99.05,0.05,0.05,1.0,READY,NONE
TOP20_EQUAL_WEIGHT,ALM,6,,56.892,64.0,94.23,0.05,0.05,1.0,READY,NONE
TOP20_EQUAL_WEIGHT,POWL,7,,56.64,58.0,98.1,0.05,0.05,1.0,READY,NONE
TOP20_EQUAL_WEIGHT,MTZ,8,,56.632,58.0,98.08,0.05,0.05,1.0,READY,NONE
TOP20_EQUAL_WEIGHT,MOD,9,,54.352,58.0,92.38,0.05,0.05,1.0,READY,NONE
TOP20_EQUAL_WEIGHT,OC,10,,53.908,72.0,80.77,0.05,0.05,1.0,READY,NONE
TOP20_EQUAL_WEIGHT,MU,11,,53.856,50.0,97.14,0.05,0.05,1.0,READY,NONE
TOP20_EQUAL_WEIGHT,CAMT,12,,53.544,68.0,82.86,0.05,0.05,1.0,READY,NONE
TOP20_EQUAL_WEIGHT,SOXL,13,,53.476,50.0,96.19,0.05,0.05,1.0,READY,NONE
TOP20_EQUAL_WEIGHT,CLH,14,,53.048,64.0,84.62,0.05,0.05,1.0,READY,NONE
TOP20_EQUAL_WEIGHT,AMKR,15,,52.828,58.0,88.57,0.05,0.05,1.0,READY,NONE
TOP20_EQUAL_WEIGHT,KEYS,16,,52.504,62.0,84.76,0.05,0.05,1.0,READY,NONE
TOP20_EQUAL_WEIGHT,AEHR,17,,52.116,48.0,94.29,0.05,0.05,1.0,READY,NONE
TOP20_EQUAL_WEIGHT,VIAV,18,,51.800559,60.0,84.501397,0.05,0.05,1.0,READY,NONE
TOP20_EQUAL_WEIGHT,ICHR,19,,51.732,48.0,93.33,0.05,0.05,1.0,READY,NONE
TOP20_EQUAL_WEIGHT,COHU,20,,51.684,58.0,85.71,0.05,0.05,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,FORM,1,,59.2,64.0,100.0,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,AEIS,2,,58.86,68.0,96.15,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,AGX,3,,57.4,58.0,100.0,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,BLTE,4,,57.324,68.0,92.31,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,LITE,5,,57.02,58.0,99.05,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,ALM,6,,56.892,64.0,94.23,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,POWL,7,,56.64,58.0,98.1,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,MTZ,8,,56.632,58.0,98.08,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,MOD,9,,54.352,58.0,92.38,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,OC,10,,53.908,72.0,80.77,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,MU,11,,53.856,50.0,97.14,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,CAMT,12,,53.544,68.0,82.86,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,SOXL,13,,53.476,50.0,96.19,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,CLH,14,,53.048,64.0,84.62,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,AMKR,15,,52.828,58.0,88.57,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,KEYS,16,,52.504,62.0,84.76,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,AEHR,17,,52.116,48.0,94.29,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,VIAV,18,,51.800559,60.0,84.501397,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,ICHR,19,,51.732,48.0,93.33,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,COHU,20,,51.684,58.0,85.71,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,APG,21,,51.6,72.0,75.0,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,SNDK,22,,51.572,50.0,91.43,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,SITM,23,,51.403528,50.0,91.00882,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,CRDO,24,,51.2,64.0,80.0,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,INTC,25,,51.192,50.0,90.48,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,AA,26,,51.152,50.0,90.38,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,WDC,27,,50.808,50.0,89.52,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,LYB,28,,50.476,58.0,82.69,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,TSEM,29,,50.428133,50.0,88.570333,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,BIDU,30,,50.384,50.0,88.46,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,BAC,31,,50.14,62.0,78.85,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,GLW,32,,50.096,40.0,95.24,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,STX,33,,50.048,50.0,87.62,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,HUT,34,,49.710963,50.0,86.777407,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,FIX,35,,49.668,50.0,86.67,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,STM,36,,49.556907,50.0,86.392267,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,CRWV,37,,49.296,64.0,75.24,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,MPWR,38,,48.64,58.0,78.1,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,BALL,39,,48.524,72.0,67.31,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,CIEN,40,,48.524,50.0,83.81,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,MOH,41,,48.168,58.0,76.92,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,TER,42,,47.772,64.0,71.43,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,FLEX,43,,47.76,50.0,81.9,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,BW,44,,47.5212,40.0,88.803,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,ENTG,45,,47.392,64.0,70.48,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,MKSI,46,,47.38,50.0,80.95,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,BE,47,,46.62,50.0,79.05,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,MTSI,48,,46.616,40.0,86.54,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,NU,49,,46.552,68.0,65.38,0.02,0.02,1.0,READY,NONE
TOP50_EQUAL_WEIGHT,PLUG,50,,46.199608,50.0,77.99902,0.02,0.02,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,FORM,1,,59.2,64.0,100.0,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,AEIS,2,,58.86,68.0,96.15,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,AGX,3,,57.4,58.0,100.0,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,BLTE,4,,57.324,68.0,92.31,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,LITE,5,,57.02,58.0,99.05,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,ALM,6,,56.892,64.0,94.23,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,POWL,7,,56.64,58.0,98.1,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,MTZ,8,,56.632,58.0,98.08,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,MOD,9,,54.352,58.0,92.38,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,OC,10,,53.908,72.0,80.77,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,MU,11,,53.856,50.0,97.14,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,CAMT,12,,53.544,68.0,82.86,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,SOXL,13,,53.476,50.0,96.19,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,CLH,14,,53.048,64.0,84.62,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,AMKR,15,,52.828,58.0,88.57,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,KEYS,16,,52.504,62.0,84.76,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,AEHR,17,,52.116,48.0,94.29,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,VIAV,18,,51.800559,60.0,84.501397,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,ICHR,19,,51.732,48.0,93.33,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,COHU,20,,51.684,58.0,85.71,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,APG,21,,51.6,72.0,75.0,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,SNDK,22,,51.572,50.0,91.43,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,SITM,23,,51.403528,50.0,91.00882,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,CRDO,24,,51.2,64.0,80.0,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,INTC,25,,51.192,50.0,90.48,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,AA,26,,51.152,50.0,90.38,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,WDC,27,,50.808,50.0,89.52,0.01,0.01,1.0,READY,NONE
TOP100_EQUAL_WEIGHT,LYB,28,,50.476,58.0,82.69,0.01,0.01,1.0,READY,NONE
